 cluster classTPDWins PDLoss PDTies PDwinloss| PFWins PFLosses PFTies PFwinloss| HMWins HMLosses HMTies HMwinloss
Compass-1up true |0 0 200 0| 75 85 40 -5 |75 85 40 -5
Compass-1up false| 85 75 40 5| 0 0 200 0| 85 75 40 5
K=1 true |0 0 200 0| 62 93 45 -31/2 |62 93 45 -31/2
K=1 false| 93 62 45 31/2| 0 0 200 0| 93 62 45 31/2
K=2 true |0 0 200 0| 81 85 34 -2 |81 85 34 -2
K=2 false| 85 81 34 2| 0 0 200 0| 85 81 34 2
K=4 true |0 0 200 0| 86 68 46 9 |86 68 46 9
K=4 false| 68 86 46 -9| 0 0 200 0| 68 86 46 -9
K=8 true |0 0 200 0| 80 79 41 1/2 |80 79 41 1/2
K=8 false| 79 80 41 -1/2| 0 0 200 0| 79 80 41 -1/2
K=16 true |0 0 200 0| 94 63 43 31/2 |94 63 43 31/2
K=16 false| 63 94 43 -31/2| 0 0 200 0| 63 94 43 -31/2
BisectK=4 true |0 0 200 0| 69 80 51 -11/2 |69 80 51 -11/2
BisectK=4 false| 80 69 51 11/2| 0 0 200 0| 80 69 51 11/2
BisectK=6 true |0 0 200 0| 76 80 44 -2 |76 80 44 -2
BisectK=6 false| 80 76 44 2| 0 0 200 0| 80 76 44 2
BisectK=8 true |0 0 200 0| 80 83 37 -3/2 |80 83 37 -3/2
BisectK=8 false| 83 80 37 3/2| 0 0 200 0| 83 80 37 3/2
Best-K true |0 0 200 0| 75 70 55 5/2 |75 70 55 5/2
Best-K false| 70 75 55 -5/2| 0 0 200 0| 70 75 55 -5/2
 cluster classTPDWins PDLoss PDTies PDwinloss| PFWins PFLosses PFTies PFwinloss| HMWins HMLosses HMTies HMwinloss
vanilla-compass true |0 0 200 0| 86 95 19 -9/2 |86 95 19 -9/2
vanilla-compass false| 95 86 19 9/2| 0 0 200 0| 95 86 19 9/2
Compass-1up true |0 0 200 0| 83 91 26 -4 |83 91 26 -4
Compass-1up false| 91 83 26 4| 0 0 200 0| 91 83 26 4
K=1 true |0 0 200 0| 89 90 21 -1/2 |89 90 21 -1/2
K=1 false| 90 89 21 1/2| 0 0 200 0| 90 89 21 1/2
K=2 true |0 0 200 0| 77 101 22 -12 |77 101 22 -12
K=2 false| 101 77 22 12| 0 0 200 0| 101 77 22 12
K=4 true |0 0 200 0| 113 64 23 49/2 |113 64 23 49/2
K=4 false| 64 113 23 -49/2| 0 0 200 0| 64 113 23 -49/2
K=8 true |0 0 200 0| 113 64 23 49/2 |113 64 23 49/2
K=8 false| 64 113 23 -49/2| 0 0 200 0| 64 113 23 -49/2
K=16 true |0 0 200 0| 72 106 22 -17 |72 106 22 -17
K=16 false| 106 72 22 17| 0 0 200 0| 106 72 22 17
BisectK=4 true |0 0 200 0| 62 113 25 -51/2 |62 113 25 -51/2
BisectK=4 false| 113 62 25 51/2| 0 0 200 0| 113 62 25 51/2
BisectK=6 true |0 0 200 0| 79 98 23 -19/2 |79 98 23 -19/2
BisectK=6 false| 98 79 23 19/2| 0 0 200 0| 98 79 23 19/2
BisectK=8 true |0 0 200 0| 106 71 23 35/2 |106 71 23 35/2
BisectK=8 false| 71 106 23 -35/2| 0 0 200 0| 71 106 23 -35/2
Best-K true |0 0 200 0| 97 84 19 13/2 |97 84 19 13/2
Best-K false| 84 97 19 -13/2| 0 0 200 0| 84 97 19 -13/2
 cluster classTPDWins PDLoss PDTies PDwinloss| PFWins PFLosses PFTies PFwinloss| HMWins HMLosses HMTies HMwinloss
vanilla-compass true |0 0 200 0| 108 74 18 17 |108 74 18 17
vanilla-compass false| 74 108 18 -17| 0 0 200 0| 74 108 18 -17
Compass-1up true |0 0 200 0| 108 71 21 37/2 |108 71 21 37/2
Compass-1up false| 71 108 21 -37/2| 0 0 200 0| 71 108 21 -37/2
K=1 true |0 0 200 0| 74 110 16 -18 |74 110 16 -18
K=1 false| 110 74 16 18| 0 0 200 0| 110 74 16 18
K=2 true |0 0 200 0| 105 72 23 33/2 |105 72 23 33/2
K=2 false| 72 105 23 -33/2| 0 0 200 0| 72 105 23 -33/2
K=4 true |0 0 200 0| 95 84 21 11/2 |95 84 21 11/2
K=4 false| 84 95 21 -11/2| 0 0 200 0| 84 95 21 -11/2
K=8 true |0 0 200 0| 71 112 17 -41/2 |71 112 17 -41/2
K=8 false| 112 71 17 41/2| 0 0 200 0| 112 71 17 41/2
K=16 true |0 0 200 0| 79 99 22 -10 |79 99 22 -10
K=16 false| 99 79 22 10| 0 0 200 0| 99 79 22 10
BisectK=4 true |0 0 200 0| 105 79 16 13 |105 79 16 13
BisectK=4 false| 79 105 16 -13| 0 0 200 0| 79 105 16 -13
BisectK=6 true |0 0 200 0| 85 98 17 -13/2 |85 98 17 -13/2
BisectK=6 false| 98 85 17 13/2| 0 0 200 0| 98 85 17 13/2
BisectK=8 true |0 0 200 0| 89 94 17 -5/2 |89 94 17 -5/2
BisectK=8 false| 94 89 17 5/2| 0 0 200 0| 94 89 17 5/2
Best-K true |0 0 200 0| 77 103 20 -13 |77 103 20 -13
Best-K false| 103 77 20 13| 0 0 200 0| 103 77 20 13
